,Ticker,Name,Exchange
257,BWPFJD=X,BWP/FJD,CCY
258,BWPEUR=X,BWP/EUR,CCY
259,BWPBDT=X,BWP/BDT,CCY
260,BRLINR=X,BRL/INR,CCY
261,BOBVEF=X,BOB/VEF,CCY
262,BOBUSD=X,BOB/USD,CCY
263,BOBPEN=X,BOB/PEN,CCY
264,BOBCOP=X,BOB/COP,CCY
265,BOBCHF=X,BOB/CHF,CCY
266,BMDUSD=X,BMD/USD,CCY
267,BMD=X,USD/BMD,CCY
268,BHDOMR=X,BHD/OMR,CCY
269,BHDJPY=X,BHD/JPY,CCY
270,BHDEUR=X,BHD/EUR,CCY
271,BHDCHF=X,BHD/CHF,CCY
272,BHDAED=X,BHD/AED,CCY
273,BBDDKK=X,BBD/DKK,CCY
274,BWPNGN=X,BWP/NGN,CCY
